ID;Commute Distance;Region;Purchased Bike;;ID,Commute Distance,Region,Purchased Bike;ID,Commute Distance,Region,Purchased Bike;;;;;
18299;5-10 Miles;Pacific;No;;18299,5-10 Miles,Pacific,No;18299,5-10 Miles,Pacific,No;;;;"{""data"": { ""id"":""18299"" }},";"{""data"": { ""id"":""18299"" }},"
16466;0-1 Miles;Europe;Yes;;16466,0-1 Miles,Europe,Yes;16466,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""16466"" }},";"{""data"": { ""id"":""16466"" }},"
19273;0-1 Miles;Europe;No;;19273,0-1 Miles,Europe,No;19273,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""19273"" }},";"{""data"": { ""id"":""19273"" }},"
22400;0-1 Miles;Pacific;Yes;;22400,0-1 Miles,Pacific,Yes;22400,0-1 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""22400"" }},";"{""data"": { ""id"":""22400"" }},"
20942;5-10 Miles;Europe;No;;20942,5-10 Miles,Europe,No;20942,5-10 Miles,Europe,No;;;;"{""data"": { ""id"":""20942"" }},";"{""data"": { ""id"":""20942"" }},"
18484;1-2 Miles;Pacific;Yes;;18484,1-2 Miles,Pacific,Yes;18484,1-2 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""18484"" }},";"{""data"": { ""id"":""18484"" }},"
12291;2-5 Miles;Europe;Yes;;12291,2-5 Miles,Europe,Yes;12291,2-5 Miles,Europe,Yes;;;;"{""data"": { ""id"":""12291"" }},";"{""data"": { ""id"":""12291"" }},"
28380;0-1 Miles;Europe;No;;28380,0-1 Miles,Europe,No;28380,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""28380"" }},";"{""data"": { ""id"":""28380"" }},"
17891;0-1 Miles;Europe;Yes;;17891,0-1 Miles,Europe,Yes;17891,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""17891"" }},";"{""data"": { ""id"":""17891"" }},"
27832;2-5 Miles;Europe;No;;27832,2-5 Miles,Europe,No;27832,2-5 Miles,Europe,No;;;;"{""data"": { ""id"":""27832"" }},";"{""data"": { ""id"":""27832"" }},"
26863;2-5 Miles;Europe;No;;26863,2-5 Miles,Europe,No;26863,2-5 Miles,Europe,No;;;;"{""data"": { ""id"":""26863"" }},";"{""data"": { ""id"":""26863"" }},"
16259;0-1 Miles;Europe;Yes;;16259,0-1 Miles,Europe,Yes;16259,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""16259"" }},";"{""data"": { ""id"":""16259"" }},"
27803;0-1 Miles;Europe;No;;27803,0-1 Miles,Europe,No;27803,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""27803"" }},";"{""data"": { ""id"":""27803"" }},"
14347;5-10 Miles;Pacific;Yes;;14347,5-10 Miles,Pacific,Yes;14347,5-10 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""14347"" }},";"{""data"": { ""id"":""14347"" }},"
17703;0-1 Miles;Europe;No;;17703,0-1 Miles,Europe,No;17703,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""17703"" }},";"{""data"": { ""id"":""17703"" }},"
17185;5-10 Miles;Europe;Yes;;17185,5-10 Miles,Europe,Yes;17185,5-10 Miles,Europe,Yes;;;;"{""data"": { ""id"":""17185"" }},";"{""data"": { ""id"":""17185"" }},"
29380;0-1 Miles;Europe;Yes;;29380,0-1 Miles,Europe,Yes;29380,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""29380"" }},";"{""data"": { ""id"":""29380"" }},"
23986;0-1 Miles;Europe;Yes;;23986,0-1 Miles,Europe,Yes;23986,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""23986"" }},";"{""data"": { ""id"":""23986"" }},"
24466;5-10 Miles;Pacific;Yes;;24466,5-10 Miles,Pacific,Yes;24466,5-10 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""24466"" }},";"{""data"": { ""id"":""24466"" }},"
29097;5-10 Miles;Pacific;Yes;;29097,5-10 Miles,Pacific,Yes;29097,5-10 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""29097"" }},";"{""data"": { ""id"":""29097"" }},"
19487;0-1 Miles;Europe;No;;19487,0-1 Miles,Europe,No;19487,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""19487"" }},";"{""data"": { ""id"":""19487"" }},"
14939;0-1 Miles;Europe;Yes;;14939,0-1 Miles,Europe,Yes;14939,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""14939"" }},";"{""data"": { ""id"":""14939"" }},"
13826;0-1 Miles;Europe;No;;13826,0-1 Miles,Europe,No;13826,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""13826"" }},";"{""data"": { ""id"":""13826"" }},"
20619;10+ Miles;Pacific;No;;20619,10+ Miles,Pacific,No;20619,10+ Miles,Pacific,No;;;;"{""data"": { ""id"":""20619"" }},";"{""data"": { ""id"":""20619"" }},"
12558;0-1 Miles;Europe;No;;12558,0-1 Miles,Europe,No;12558,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""12558"" }},";"{""data"": { ""id"":""12558"" }},"
24871;5-10 Miles;Europe;No;;24871,5-10 Miles,Europe,No;24871,5-10 Miles,Europe,No;;;;"{""data"": { ""id"":""24871"" }},";"{""data"": { ""id"":""24871"" }},"
17319;5-10 Miles;Pacific;No;;17319,5-10 Miles,Pacific,No;17319,5-10 Miles,Pacific,No;;;;"{""data"": { ""id"":""17319"" }},";"{""data"": { ""id"":""17319"" }},"
28906;10+ Miles;Europe;No;;28906,10+ Miles,Europe,No;28906,10+ Miles,Europe,No;;;;"{""data"": { ""id"":""28906"" }},";"{""data"": { ""id"":""28906"" }},"
12808;0-1 Miles;Europe;Yes;;12808,0-1 Miles,Europe,Yes;12808,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""12808"" }},";"{""data"": { ""id"":""12808"" }},"
20567;5-10 Miles;Europe;Yes;;20567,5-10 Miles,Europe,Yes;20567,5-10 Miles,Europe,Yes;;;;"{""data"": { ""id"":""20567"" }},";"{""data"": { ""id"":""20567"" }},"
25502;0-1 Miles;Europe;Yes;;25502,0-1 Miles,Europe,Yes;25502,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""25502"" }},";"{""data"": { ""id"":""25502"" }},"
15580;2-5 Miles;Pacific;Yes;;15580,2-5 Miles,Pacific,Yes;15580,2-5 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""15580"" }},";"{""data"": { ""id"":""15580"" }},"
24185;1-2 Miles;Europe;No;;24185,1-2 Miles,Europe,No;24185,1-2 Miles,Europe,No;;;;"{""data"": { ""id"":""24185"" }},";"{""data"": { ""id"":""24185"" }},"
19291;0-1 Miles;Europe;No;;19291,0-1 Miles,Europe,No;19291,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""19291"" }},";"{""data"": { ""id"":""19291"" }},"
16713;0-1 Miles;Pacific;Yes;;16713,0-1 Miles,Pacific,Yes;16713,0-1 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""16713"" }},";"{""data"": { ""id"":""16713"" }},"
16185;10+ Miles;Pacific;No;;16185,10+ Miles,Pacific,No;16185,10+ Miles,Pacific,No;;;;"{""data"": { ""id"":""16185"" }},";"{""data"": { ""id"":""16185"" }},"
14927;0-1 Miles;Europe;Yes;;14927,0-1 Miles,Europe,Yes;14927,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""14927"" }},";"{""data"": { ""id"":""14927"" }},"
29337;5-10 Miles;Pacific;No;;29337,5-10 Miles,Pacific,No;29337,5-10 Miles,Pacific,No;;;;"{""data"": { ""id"":""29337"" }},";"{""data"": { ""id"":""29337"" }},"
29355;0-1 Miles;Europe;Yes;;29355,0-1 Miles,Europe,Yes;29355,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""29355"" }},";"{""data"": { ""id"":""29355"" }},"
25303;2-5 Miles;Europe;Yes;;25303,2-5 Miles,Europe,Yes;25303,2-5 Miles,Europe,Yes;;;;"{""data"": { ""id"":""25303"" }},";"{""data"": { ""id"":""25303"" }},"
14813;0-1 Miles;Europe;Yes;;14813,0-1 Miles,Europe,Yes;14813,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""14813"" }},";"{""data"": { ""id"":""14813"" }},"
16438;0-1 Miles;Europe;No;;16438,0-1 Miles,Europe,No;16438,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""16438"" }},";"{""data"": { ""id"":""16438"" }},"
14238;10+ Miles;Pacific;Yes;;14238,10+ Miles,Pacific,Yes;14238,10+ Miles,Pacific,Yes;;;;"{""data"": { ""id"":""14238"" }},";"{""data"": { ""id"":""14238"" }},"
16200;0-1 Miles;Europe;No;;16200,0-1 Miles,Europe,No;16200,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""16200"" }},";"{""data"": { ""id"":""16200"" }},"
24857;0-1 Miles;Europe;No;;24857,0-1 Miles,Europe,No;24857,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""24857"" }},";"{""data"": { ""id"":""24857"" }},"
26956;2-5 Miles;Europe;Yes;;26956,2-5 Miles,Europe,Yes;26956,2-5 Miles,Europe,Yes;;;;"{""data"": { ""id"":""26956"" }},";"{""data"": { ""id"":""26956"" }},"
14517;1-2 Miles;Pacific;No;;14517,1-2 Miles,Pacific,No;14517,1-2 Miles,Pacific,No;;;;"{""data"": { ""id"":""14517"" }},";"{""data"": { ""id"":""14517"" }},"
12678;0-1 Miles;Pacific;No;;12678,0-1 Miles,Pacific,No;12678,0-1 Miles,Pacific,No;;;;"{""data"": { ""id"":""12678"" }},";"{""data"": { ""id"":""12678"" }},"
16188;1-2 Miles;Europe;No;;16188,1-2 Miles,Europe,No;16188,1-2 Miles,Europe,No;;;;"{""data"": { ""id"":""16188"" }},";"{""data"": { ""id"":""16188"" }},"
27969;10+ Miles;Pacific;Yes;;27969,10+ Miles,Pacific,Yes;27969,10+ Miles,Pacific,Yes;;;;"{""data"": { ""id"":""27969"" }},";"{""data"": { ""id"":""27969"" }},"
15752;1-2 Miles;Pacific;Yes;;15752,1-2 Miles,Pacific,Yes;15752,1-2 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""15752"" }},";"{""data"": { ""id"":""15752"" }},"
27745;5-10 Miles;Pacific;Yes;;27745,5-10 Miles,Pacific,Yes;27745,5-10 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""27745"" }},";"{""data"": { ""id"":""27745"" }},"
20828;0-1 Miles;Europe;Yes;;20828,0-1 Miles,Europe,Yes;20828,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""20828"" }},";"{""data"": { ""id"":""20828"" }},"
19461;0-1 Miles;Europe;No;;19461,0-1 Miles,Europe,No;19461,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""19461"" }},";"{""data"": { ""id"":""19461"" }},"
26941;0-1 Miles;Europe;Yes;;26941,0-1 Miles,Europe,Yes;26941,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""26941"" }},";"{""data"": { ""id"":""26941"" }},"
28412;2-5 Miles;Europe;No;;28412,2-5 Miles,Europe,No;28412,2-5 Miles,Europe,No;;;;"{""data"": { ""id"":""28412"" }},";"{""data"": { ""id"":""28412"" }},"
24485;5-10 Miles;Pacific;Yes;;24485,5-10 Miles,Pacific,Yes;24485,5-10 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""24485"" }},";"{""data"": { ""id"":""24485"" }},"
16514;1-2 Miles;Pacific;Yes;;16514,1-2 Miles,Pacific,Yes;16514,1-2 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""16514"" }},";"{""data"": { ""id"":""16514"" }},"
17191;0-1 Miles;Europe;Yes;;17191,0-1 Miles,Europe,Yes;17191,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""17191"" }},";"{""data"": { ""id"":""17191"" }},"
19608;1-2 Miles;Pacific;No;;19608,1-2 Miles,Pacific,No;19608,1-2 Miles,Pacific,No;;;;"{""data"": { ""id"":""19608"" }},";"{""data"": { ""id"":""19608"" }},"
24119;2-5 Miles;Europe;No;;24119,2-5 Miles,Europe,No;24119,2-5 Miles,Europe,No;;;;"{""data"": { ""id"":""24119"" }},";"{""data"": { ""id"":""24119"" }},"
25458;1-2 Miles;Europe;Yes;;25458,1-2 Miles,Europe,Yes;25458,1-2 Miles,Europe,Yes;;;;"{""data"": { ""id"":""25458"" }},";"{""data"": { ""id"":""25458"" }},"
26886;0-1 Miles;Europe;Yes;;26886,0-1 Miles,Europe,Yes;26886,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""26886"" }},";"{""data"": { ""id"":""26886"" }},"
28436;0-1 Miles;Europe;Yes;;28436,0-1 Miles,Europe,Yes;28436,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""28436"" }},";"{""data"": { ""id"":""28436"" }},"
19562;2-5 Miles;Pacific;Yes;;19562,2-5 Miles,Pacific,Yes;19562,2-5 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""19562"" }},";"{""data"": { ""id"":""19562"" }},"
15608;2-5 Miles;Europe;No;;15608,2-5 Miles,Europe,No;15608,2-5 Miles,Europe,No;;;;"{""data"": { ""id"":""15608"" }},";"{""data"": { ""id"":""15608"" }},"
16487;5-10 Miles;Pacific;No;;16487,5-10 Miles,Pacific,No;16487,5-10 Miles,Pacific,No;;;;"{""data"": { ""id"":""16487"" }},";"{""data"": { ""id"":""16487"" }},"
17197;10+ Miles;Europe;No;;17197,10+ Miles,Europe,No;17197,10+ Miles,Europe,No;;;;"{""data"": { ""id"":""17197"" }},";"{""data"": { ""id"":""17197"" }},"
12507;0-1 Miles;Europe;No;;12507,0-1 Miles,Europe,No;12507,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""12507"" }},";"{""data"": { ""id"":""12507"" }},"
23940;0-1 Miles;Europe;Yes;;23940,0-1 Miles,Europe,Yes;23940,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""23940"" }},";"{""data"": { ""id"":""23940"" }},"
19441;0-1 Miles;Europe;Yes;;19441,0-1 Miles,Europe,Yes;19441,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""19441"" }},";"{""data"": { ""id"":""19441"" }},"
26852;0-1 Miles;Europe;No;;26852,0-1 Miles,Europe,No;26852,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""26852"" }},";"{""data"": { ""id"":""26852"" }},"
12274;0-1 Miles;Europe;No;;12274,0-1 Miles,Europe,No;12274,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""12274"" }},";"{""data"": { ""id"":""12274"" }},"
20236;0-1 Miles;Pacific;Yes;;20236,0-1 Miles,Pacific,Yes;20236,0-1 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""20236"" }},";"{""data"": { ""id"":""20236"" }},"
24149;1-2 Miles;Europe;No;;24149,1-2 Miles,Europe,No;24149,1-2 Miles,Europe,No;;;;"{""data"": { ""id"":""24149"" }},";"{""data"": { ""id"":""24149"" }},"
26139;5-10 Miles;Pacific;No;;26139,5-10 Miles,Pacific,No;26139,5-10 Miles,Pacific,No;;;;"{""data"": { ""id"":""26139"" }},";"{""data"": { ""id"":""26139"" }},"
18491;5-10 Miles;Pacific;Yes;;18491,5-10 Miles,Pacific,Yes;18491,5-10 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""18491"" }},";"{""data"": { ""id"":""18491"" }},"
22707;2-5 Miles;Europe;No;;22707,2-5 Miles,Europe,No;22707,2-5 Miles,Europe,No;;;;"{""data"": { ""id"":""22707"" }},";"{""data"": { ""id"":""22707"" }},"
20430;5-10 Miles;Pacific;Yes;;20430,5-10 Miles,Pacific,Yes;20430,5-10 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""20430"" }},";"{""data"": { ""id"":""20430"" }},"
27494;1-2 Miles;Pacific;Yes;;27494,1-2 Miles,Pacific,Yes;27494,1-2 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""27494"" }},";"{""data"": { ""id"":""27494"" }},"
26829;0-1 Miles;Europe;Yes;;26829,0-1 Miles,Europe,Yes;26829,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""26829"" }},";"{""data"": { ""id"":""26829"" }},"
28395;0-1 Miles;Europe;Yes;;28395,0-1 Miles,Europe,Yes;28395,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""28395"" }},";"{""data"": { ""id"":""28395"" }},"
21006;0-1 Miles;Europe;Yes;;21006,0-1 Miles,Europe,Yes;21006,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""21006"" }},";"{""data"": { ""id"":""21006"" }},"
14682;5-10 Miles;Pacific;No;;14682,5-10 Miles,Pacific,No;14682,5-10 Miles,Pacific,No;;;;"{""data"": { ""id"":""14682"" }},";"{""data"": { ""id"":""14682"" }},"
17650;1-2 Miles;Europe;No;;17650,1-2 Miles,Europe,No;17650,1-2 Miles,Europe,No;;;;"{""data"": { ""id"":""17650"" }},";"{""data"": { ""id"":""17650"" }},"
29191;0-1 Miles;Pacific;Yes;;29191,0-1 Miles,Pacific,Yes;29191,0-1 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""29191"" }},";"{""data"": { ""id"":""29191"" }},"
15030;0-1 Miles;Pacific;Yes;;15030,0-1 Miles,Pacific,Yes;15030,0-1 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""15030"" }},";"{""data"": { ""id"":""15030"" }},"
24140;0-1 Miles;Europe;Yes;;24140,0-1 Miles,Europe,Yes;24140,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""24140"" }},";"{""data"": { ""id"":""24140"" }},"
22496;0-1 Miles;Europe;No;;22496,0-1 Miles,Europe,No;22496,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""22496"" }},";"{""data"": { ""id"":""22496"" }},"
24065;0-1 Miles;Europe;Yes;;24065,0-1 Miles,Europe,Yes;24065,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""24065"" }},";"{""data"": { ""id"":""24065"" }},"
19914;2-5 Miles;Europe;No;;19914,2-5 Miles,Europe,No;19914,2-5 Miles,Europe,No;;;;"{""data"": { ""id"":""19914"" }},";"{""data"": { ""id"":""19914"" }},"
12871;2-5 Miles;Europe;No;;12871,2-5 Miles,Europe,No;12871,2-5 Miles,Europe,No;;;;"{""data"": { ""id"":""12871"" }},";"{""data"": { ""id"":""12871"" }},"
22988;5-10 Miles;Pacific;Yes;;22988,5-10 Miles,Pacific,Yes;22988,5-10 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""22988"" }},";"{""data"": { ""id"":""22988"" }},"
15922;0-1 Miles;Europe;No;;15922,0-1 Miles,Europe,No;15922,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""15922"" }},";"{""data"": { ""id"":""15922"" }},"
12344;10+ Miles;Pacific;No;;12344,10+ Miles,Pacific,No;12344,10+ Miles,Pacific,No;;;;"{""data"": { ""id"":""12344"" }},";"{""data"": { ""id"":""12344"" }},"
23627;5-10 Miles;Europe;No;;23627,5-10 Miles,Europe,No;23627,5-10 Miles,Europe,No;;;;"{""data"": { ""id"":""23627"" }},";"{""data"": { ""id"":""23627"" }},"
27775;0-1 Miles;Europe;Yes;;27775,0-1 Miles,Europe,Yes;27775,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""27775"" }},";"{""data"": { ""id"":""27775"" }},"
29301;1-2 Miles;Pacific;No;;29301,1-2 Miles,Pacific,No;29301,1-2 Miles,Pacific,No;;;;"{""data"": { ""id"":""29301"" }},";"{""data"": { ""id"":""29301"" }},"
12716;2-5 Miles;Europe;No;;12716,2-5 Miles,Europe,No;12716,2-5 Miles,Europe,No;;;;"{""data"": { ""id"":""12716"" }},";"{""data"": { ""id"":""12716"" }},"
12472;2-5 Miles;Europe;No;;12472,2-5 Miles,Europe,No;12472,2-5 Miles,Europe,No;;;;"{""data"": { ""id"":""12472"" }},";"{""data"": { ""id"":""12472"" }},"
20970;0-1 Miles;Europe;Yes;;20970,0-1 Miles,Europe,Yes;20970,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""20970"" }},";"{""data"": { ""id"":""20970"" }},"
26818;0-1 Miles;Europe;Yes;;26818,0-1 Miles,Europe,Yes;26818,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""26818"" }},";"{""data"": { ""id"":""26818"" }},"
12993;2-5 Miles;Pacific;No;;12993,2-5 Miles,Pacific,No;12993,2-5 Miles,Pacific,No;;;;"{""data"": { ""id"":""12993"" }},";"{""data"": { ""id"":""12993"" }},"
14192;5-10 Miles;Europe;Yes;;14192,5-10 Miles,Europe,Yes;14192,5-10 Miles,Europe,Yes;;;;"{""data"": { ""id"":""14192"" }},";"{""data"": { ""id"":""14192"" }},"
19477;0-1 Miles;Europe;Yes;;19477,0-1 Miles,Europe,Yes;19477,0-1 Miles,Europe,Yes;;;;"{""data"": { ""id"":""19477"" }},";"{""data"": { ""id"":""19477"" }},"
26796;5-10 Miles;Pacific;Yes;;26796,5-10 Miles,Pacific,Yes;26796,5-10 Miles,Pacific,Yes;;;;"{""data"": { ""id"":""26796"" }},";"{""data"": { ""id"":""26796"" }},"
21094;0-1 Miles;Europe;No;;21094,0-1 Miles,Europe,No;21094,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""21094"" }},";"{""data"": { ""id"":""21094"" }},"
12234;2-5 Miles;Europe;No;;12234,2-5 Miles,Europe,No;12234,2-5 Miles,Europe,No;;;;"{""data"": { ""id"":""12234"" }},";"{""data"": { ""id"":""12234"" }},"
28683;5-10 Miles;Europe;Yes;;28683,5-10 Miles,Europe,Yes;28683,5-10 Miles,Europe,Yes;;;;"{""data"": { ""id"":""28683"" }},";"{""data"": { ""id"":""28683"" }},"
17994;0-1 Miles;Europe;No;;17994,0-1 Miles,Europe,No;17994,0-1 Miles,Europe,No;;;;"{""data"": { ""id"":""17994"" }},";"{""data"": { ""id"":""17994"" }},"
