ID;Marital Status;Gender;Income;Children;Education;Occupation;Home Owner;Cars;Commute Distance;Region;Age;Purchased Bike;ID für JSON Darstellung;Für JSON-Darstellung
27832;Single;Female;30000;0;Partial College;Clerical;No;1;2-5 Miles;Europe;30;No;"{""data"": { ""id"":""27832"" }},";"{""data"": { ""id"":""27832"" }},"
26863;Single;Male;20000;0;High School;Manual;No;1;2-5 Miles;Europe;28;No;"{""data"": { ""id"":""26863"" }},";"{""data"": { ""id"":""26863"" }},"
16259;Single;Female;10000;4;Partial High School;Manual;Yes;2;0-1 Miles;Europe;40;Yes;"{""data"": { ""id"":""16259"" }},";"{""data"": { ""id"":""16259"" }},"
27803;Single;Female;30000;2;Partial College;Clerical;No;0;0-1 Miles;Europe;43;No;"{""data"": { ""id"":""27803"" }},";"{""data"": { ""id"":""27803"" }},"
14347;Single;Female;40000;2;Bachelors;Management;Yes;2;5-10 Miles;Pacific;65;Yes;"{""data"": { ""id"":""14347"" }},";"{""data"": { ""id"":""14347"" }},"
17703;Married;Female;10000;1;Graduate Degree;Manual;Yes;0;0-1 Miles;Europe;40;No;"{""data"": { ""id"":""17703"" }},";"{""data"": { ""id"":""17703"" }},"
17185;Married;Female;170000;4;Partial College;Professional;No;3;5-10 Miles;Europe;48;Yes;"{""data"": { ""id"":""17185"" }},";"{""data"": { ""id"":""17185"" }},"
29380;Married;Female;20000;3;High School;Manual;Yes;0;0-1 Miles;Europe;41;Yes;"{""data"": { ""id"":""29380"" }},";"{""data"": { ""id"":""29380"" }},"
23986;Married;Female;20000;1;Bachelors;Clerical;Yes;0;0-1 Miles;Europe;66;Yes;"{""data"": { ""id"":""23986"" }},";"{""data"": { ""id"":""23986"" }},"
24466;Married;Female;60000;1;Partial College;Skilled Manual;Yes;1;5-10 Miles;Pacific;46;Yes;"{""data"": { ""id"":""24466"" }},";"{""data"": { ""id"":""24466"" }},"
29097;Single;Female;40000;2;Partial College;Skilled Manual;Yes;2;5-10 Miles;Pacific;52;Yes;"{""data"": { ""id"":""29097"" }},";"{""data"": { ""id"":""29097"" }},"
19487;Married;Male;30000;2;Partial College;Clerical;No;2;0-1 Miles;Europe;42;No;"{""data"": { ""id"":""19487"" }},";"{""data"": { ""id"":""19487"" }},"
14939;Married;Male;40000;0;Bachelors;Clerical;Yes;0;0-1 Miles;Europe;39;Yes;"{""data"": { ""id"":""14939"" }},";"{""data"": { ""id"":""14939"" }},"
13826;Single;Female;30000;0;Partial College;Clerical;No;1;0-1 Miles;Europe;28;No;"{""data"": { ""id"":""13826"" }},";"{""data"": { ""id"":""13826"" }},"
20619;Single;Male;80000;0;Bachelors;Professional;No;4;10+ Miles;Pacific;35;No;"{""data"": { ""id"":""20619"" }},";"{""data"": { ""id"":""20619"" }},"
12558;Married;Female;20000;1;Bachelors;Clerical;Yes;0;0-1 Miles;Europe;65;No;"{""data"": { ""id"":""12558"" }},";"{""data"": { ""id"":""12558"" }},"
24871;Single;Female;90000;4;High School;Management;No;3;5-10 Miles;Europe;56;No;"{""data"": { ""id"":""24871"" }},";"{""data"": { ""id"":""24871"" }},"
17319;Single;Female;70000;0;Bachelors;Professional;No;1;5-10 Miles;Pacific;42;No;"{""data"": { ""id"":""17319"" }},";"{""data"": { ""id"":""17319"" }},"
28906;Married;Male;80000;4;High School;Professional;Yes;2;10+ Miles;Europe;54;No;"{""data"": { ""id"":""28906"" }},";"{""data"": { ""id"":""28906"" }},"
12808;Married;Male;40000;0;Bachelors;Clerical;Yes;0;0-1 Miles;Europe;38;Yes;"{""data"": { ""id"":""12808"" }},";"{""data"": { ""id"":""12808"" }},"
20567;Married;Male;130000;4;Partial College;Professional;No;4;5-10 Miles;Europe;61;Yes;"{""data"": { ""id"":""20567"" }},";"{""data"": { ""id"":""20567"" }},"
25502;Married;Female;40000;1;Bachelors;Skilled Manual;Yes;0;0-1 Miles;Europe;43;Yes;"{""data"": { ""id"":""25502"" }},";"{""data"": { ""id"":""25502"" }},"
15580;Married;Male;60000;2;Bachelors;Professional;Yes;1;2-5 Miles;Pacific;38;Yes;"{""data"": { ""id"":""15580"" }},";"{""data"": { ""id"":""15580"" }},"
24185;Single;Female;10000;1;High School;Manual;No;1;1-2 Miles;Europe;45;No;"{""data"": { ""id"":""24185"" }},";"{""data"": { ""id"":""24185"" }},"
19291;Single;Female;10000;2;High School;Manual;Yes;0;0-1 Miles;Europe;35;No;"{""data"": { ""id"":""19291"" }},";"{""data"": { ""id"":""19291"" }},"
16713;Married;Male;40000;2;Bachelors;Management;Yes;1;0-1 Miles;Pacific;52;Yes;"{""data"": { ""id"":""16713"" }},";"{""data"": { ""id"":""16713"" }},"
16185;Single;Male;60000;4;Bachelors;Professional;Yes;3;10+ Miles;Pacific;41;No;"{""data"": { ""id"":""16185"" }},";"{""data"": { ""id"":""16185"" }},"
14927;Married;Female;30000;1;Bachelors;Clerical;Yes;0;0-1 Miles;Europe;37;Yes;"{""data"": { ""id"":""14927"" }},";"{""data"": { ""id"":""14927"" }},"
29337;Single;Male;30000;2;Partial College;Clerical;Yes;2;5-10 Miles;Pacific;68;No;"{""data"": { ""id"":""29337"" }},";"{""data"": { ""id"":""29337"" }},"
29355;Married;Female;40000;0;Graduate Degree;Clerical;Yes;0;0-1 Miles;Europe;37;Yes;"{""data"": { ""id"":""29355"" }},";"{""data"": { ""id"":""29355"" }},"
25303;Single;Male;30000;0;High School;Manual;Yes;1;2-5 Miles;Europe;33;Yes;"{""data"": { ""id"":""25303"" }},";"{""data"": { ""id"":""25303"" }},"
14813;Single;Female;20000;4;High School;Manual;Yes;1;0-1 Miles;Europe;43;Yes;"{""data"": { ""id"":""14813"" }},";"{""data"": { ""id"":""14813"" }},"
16438;Married;Female;10000;0;Partial High School;Manual;No;2;0-1 Miles;Europe;30;No;"{""data"": { ""id"":""16438"" }},";"{""data"": { ""id"":""16438"" }},"
14238;Married;Male;120000;0;Partial High School;Professional;Yes;4;10+ Miles;Pacific;36;Yes;"{""data"": { ""id"":""14238"" }},";"{""data"": { ""id"":""14238"" }},"
16200;Single;Female;10000;0;Partial High School;Manual;No;2;0-1 Miles;Europe;35;No;"{""data"": { ""id"":""16200"" }},";"{""data"": { ""id"":""16200"" }},"
24857;Married;Female;130000;3;High School;Professional;Yes;4;0-1 Miles;Europe;52;No;"{""data"": { ""id"":""24857"" }},";"{""data"": { ""id"":""24857"" }},"
26956;Single;Female;20000;0;Partial College;Manual;No;1;2-5 Miles;Europe;36;Yes;"{""data"": { ""id"":""26956"" }},";"{""data"": { ""id"":""26956"" }},"
14517;Married;Female;20000;3;High School;Skilled Manual;No;2;1-2 Miles;Pacific;62;No;"{""data"": { ""id"":""14517"" }},";"{""data"": { ""id"":""14517"" }},"
12678;Single;Female;130000;4;High School;Management;Yes;4;0-1 Miles;Pacific;31;No;"{""data"": { ""id"":""12678"" }},";"{""data"": { ""id"":""12678"" }},"
16188;Single;Female;20000;0;Partial High School;Manual;No;2;1-2 Miles;Europe;26;No;"{""data"": { ""id"":""16188"" }},";"{""data"": { ""id"":""16188"" }},"
27969;Married;Male;80000;0;Bachelors;Professional;Yes;2;10+ Miles;Pacific;29;Yes;"{""data"": { ""id"":""27969"" }},";"{""data"": { ""id"":""27969"" }},"
15752;Married;Male;80000;2;High School;Skilled Manual;No;2;1-2 Miles;Pacific;50;Yes;"{""data"": { ""id"":""15752"" }},";"{""data"": { ""id"":""15752"" }},"
27745;Single;Male;40000;2;Bachelors;Management;Yes;2;5-10 Miles;Pacific;63;Yes;"{""data"": { ""id"":""27745"" }},";"{""data"": { ""id"":""27745"" }},"
20828;Married;Female;30000;4;Graduate Degree;Clerical;Yes;0;0-1 Miles;Europe;45;Yes;"{""data"": { ""id"":""20828"" }},";"{""data"": { ""id"":""20828"" }},"
19461;Single;Female;10000;4;Partial High School;Manual;Yes;2;0-1 Miles;Europe;40;No;"{""data"": { ""id"":""19461"" }},";"{""data"": { ""id"":""19461"" }},"
26941;Married;Male;30000;0;Bachelors;Clerical;Yes;0;0-1 Miles;Europe;47;Yes;"{""data"": { ""id"":""26941"" }},";"{""data"": { ""id"":""26941"" }},"
28412;Single;Male;20000;0;High School;Manual;No;1;2-5 Miles;Europe;29;No;"{""data"": { ""id"":""28412"" }},";"{""data"": { ""id"":""28412"" }},"
24485;Single;Male;40000;2;Bachelors;Management;No;1;5-10 Miles;Pacific;52;Yes;"{""data"": { ""id"":""24485"" }},";"{""data"": { ""id"":""24485"" }},"
16514;Single;Male;10000;0;Partial College;Manual;Yes;1;1-2 Miles;Pacific;26;Yes;"{""data"": { ""id"":""16514"" }},";"{""data"": { ""id"":""16514"" }},"
17191;Single;Male;130000;3;Partial College;Professional;No;3;0-1 Miles;Europe;51;Yes;"{""data"": { ""id"":""17191"" }},";"{""data"": { ""id"":""17191"" }},"
19608;Married;Male;80000;5;Bachelors;Professional;Yes;4;1-2 Miles;Pacific;40;No;"{""data"": { ""id"":""19608"" }},";"{""data"": { ""id"":""19608"" }},"
24119;Single;Male;30000;0;Partial College;Clerical;No;1;2-5 Miles;Europe;29;No;"{""data"": { ""id"":""24119"" }},";"{""data"": { ""id"":""24119"" }},"
25458;Married;Male;20000;1;High School;Manual;No;1;1-2 Miles;Europe;40;Yes;"{""data"": { ""id"":""25458"" }},";"{""data"": { ""id"":""25458"" }},"
26886;Single;Female;30000;0;Partial College;Clerical;No;1;0-1 Miles;Europe;29;Yes;"{""data"": { ""id"":""26886"" }},";"{""data"": { ""id"":""26886"" }},"
28436;Single;Male;30000;0;Partial College;Clerical;No;1;0-1 Miles;Europe;30;Yes;"{""data"": { ""id"":""28436"" }},";"{""data"": { ""id"":""28436"" }},"
19562;Single;Female;60000;2;Bachelors;Professional;Yes;1;2-5 Miles;Pacific;37;Yes;"{""data"": { ""id"":""19562"" }},";"{""data"": { ""id"":""19562"" }},"
15608;Single;Female;30000;0;Partial College;Clerical;No;1;2-5 Miles;Europe;33;No;"{""data"": { ""id"":""15608"" }},";"{""data"": { ""id"":""15608"" }},"
16487;Single;Female;30000;3;High School;Skilled Manual;Yes;2;5-10 Miles;Pacific;55;No;"{""data"": { ""id"":""16487"" }},";"{""data"": { ""id"":""16487"" }},"
17197;Single;Female;90000;5;Partial College;Professional;Yes;2;10+ Miles;Europe;62;No;"{""data"": { ""id"":""17197"" }},";"{""data"": { ""id"":""17197"" }},"
12507;Married;Male;30000;1;Partial College;Clerical;Yes;1;0-1 Miles;Europe;43;No;"{""data"": { ""id"":""12507"" }},";"{""data"": { ""id"":""12507"" }},"
23940;Married;Male;40000;1;Bachelors;Skilled Manual;Yes;1;0-1 Miles;Europe;44;Yes;"{""data"": { ""id"":""23940"" }},";"{""data"": { ""id"":""23940"" }},"
19441;Single;Male;40000;0;Graduate Degree;Clerical;Yes;0;0-1 Miles;Europe;37;Yes;"{""data"": { ""id"":""19441"" }},";"{""data"": { ""id"":""19441"" }},"
26852;Married;Female;20000;3;High School;Manual;Yes;2;0-1 Miles;Europe;43;No;"{""data"": { ""id"":""26852"" }},";"{""data"": { ""id"":""26852"" }},"
12274;Single;Male;10000;2;High School;Manual;Yes;0;0-1 Miles;Europe;35;No;"{""data"": { ""id"":""12274"" }},";"{""data"": { ""id"":""12274"" }},"
20236;Single;Male;60000;3;Bachelors;Professional;No;2;0-1 Miles;Pacific;43;Yes;"{""data"": { ""id"":""20236"" }},";"{""data"": { ""id"":""20236"" }},"
24149;Married;Male;10000;2;Partial College;Manual;Yes;0;1-2 Miles;Europe;49;No;"{""data"": { ""id"":""24149"" }},";"{""data"": { ""id"":""24149"" }},"
26139;Single;Male;60000;1;Partial College;Skilled Manual;Yes;1;5-10 Miles;Pacific;45;No;"{""data"": { ""id"":""26139"" }},";"{""data"": { ""id"":""26139"" }},"
18491;Single;Female;70000;2;High School;Professional;Yes;2;5-10 Miles;Pacific;49;Yes;"{""data"": { ""id"":""18491"" }},";"{""data"": { ""id"":""18491"" }},"
22707;Single;Female;30000;0;Partial College;Clerical;No;1;2-5 Miles;Europe;30;No;"{""data"": { ""id"":""22707"" }},";"{""data"": { ""id"":""22707"" }},"
20430;Married;Male;70000;2;Partial College;Skilled Manual;Yes;2;5-10 Miles;Pacific;52;Yes;"{""data"": { ""id"":""20430"" }},";"{""data"": { ""id"":""20430"" }},"
27494;Single;Female;40000;2;Partial College;Skilled Manual;No;2;1-2 Miles;Pacific;53;Yes;"{""data"": { ""id"":""27494"" }},";"{""data"": { ""id"":""27494"" }},"
26829;Married;Female;40000;0;Bachelors;Clerical;Yes;0;0-1 Miles;Europe;38;Yes;"{""data"": { ""id"":""26829"" }},";"{""data"": { ""id"":""26829"" }},"
28395;Single;Male;40000;0;Bachelors;Professional;No;0;0-1 Miles;Europe;39;Yes;"{""data"": { ""id"":""28395"" }},";"{""data"": { ""id"":""28395"" }},"
21006;Single;Female;20000;1;Partial College;Manual;No;0;0-1 Miles;Europe;46;Yes;"{""data"": { ""id"":""21006"" }},";"{""data"": { ""id"":""21006"" }},"
14682;Single;Female;70000;0;Bachelors;Professional;No;1;5-10 Miles;Pacific;38;No;"{""data"": { ""id"":""14682"" }},";"{""data"": { ""id"":""14682"" }},"
17650;Single;Female;40000;2;Partial College;Clerical;Yes;2;1-2 Miles;Europe;35;No;"{""data"": { ""id"":""17650"" }},";"{""data"": { ""id"":""17650"" }},"
29191;Single;Female;130000;1;Graduate Degree;Management;No;1;0-1 Miles;Pacific;36;Yes;"{""data"": { ""id"":""29191"" }},";"{""data"": { ""id"":""29191"" }},"
15030;Married;Male;20000;0;Bachelors;Clerical;Yes;0;0-1 Miles;Pacific;26;Yes;"{""data"": { ""id"":""15030"" }},";"{""data"": { ""id"":""15030"" }},"
24140;Single;Male;10000;0;Graduate Degree;Manual;No;0;0-1 Miles;Europe;30;Yes;"{""data"": { ""id"":""24140"" }},";"{""data"": { ""id"":""24140"" }},"
22496;Married;Female;30000;1;Bachelors;Skilled Manual;Yes;2;0-1 Miles;Europe;42;No;"{""data"": { ""id"":""22496"" }},";"{""data"": { ""id"":""22496"" }},"
24065;Single;Female;20000;2;High School;Manual;Yes;0;0-1 Miles;Europe;40;Yes;"{""data"": { ""id"":""24065"" }},";"{""data"": { ""id"":""24065"" }},"
19914;Married;Male;80000;5;Bachelors;Management;Yes;2;2-5 Miles;Europe;62;No;"{""data"": { ""id"":""19914"" }},";"{""data"": { ""id"":""19914"" }},"
12871;Single;Female;30000;0;Partial College;Clerical;No;1;2-5 Miles;Europe;29;No;"{""data"": { ""id"":""12871"" }},";"{""data"": { ""id"":""12871"" }},"
22988;Married;Female;40000;2;Bachelors;Management;Yes;2;5-10 Miles;Pacific;66;Yes;"{""data"": { ""id"":""22988"" }},";"{""data"": { ""id"":""22988"" }},"
15922;Married;Male;150000;2;High School;Professional;Yes;4;0-1 Miles;Europe;48;No;"{""data"": { ""id"":""15922"" }},";"{""data"": { ""id"":""15922"" }},"
12344;Single;Female;80000;0;Bachelors;Professional;No;3;10+ Miles;Pacific;31;No;"{""data"": { ""id"":""12344"" }},";"{""data"": { ""id"":""12344"" }},"
23627;Single;Female;100000;3;Partial College;Management;No;4;5-10 Miles;Europe;56;No;"{""data"": { ""id"":""23627"" }},";"{""data"": { ""id"":""23627"" }},"
27775;Single;Female;40000;0;Bachelors;Clerical;No;0;0-1 Miles;Europe;38;Yes;"{""data"": { ""id"":""27775"" }},";"{""data"": { ""id"":""27775"" }},"
29301;Married;Male;80000;5;Bachelors;Professional;Yes;4;1-2 Miles;Pacific;40;No;"{""data"": { ""id"":""29301"" }},";"{""data"": { ""id"":""29301"" }},"
12716;Single;Male;30000;0;Partial College;Clerical;Yes;1;2-5 Miles;Europe;32;No;"{""data"": { ""id"":""12716"" }},";"{""data"": { ""id"":""12716"" }},"
12472;Married;Male;30000;1;Bachelors;Clerical;Yes;1;2-5 Miles;Europe;39;No;"{""data"": { ""id"":""12472"" }},";"{""data"": { ""id"":""12472"" }},"
20970;Single;Male;10000;2;Partial College;Manual;Yes;1;0-1 Miles;Europe;52;Yes;"{""data"": { ""id"":""20970"" }},";"{""data"": { ""id"":""20970"" }},"
26818;Single;Male;10000;3;High School;Manual;Yes;1;0-1 Miles;Europe;39;Yes;"{""data"": { ""id"":""26818"" }},";"{""data"": { ""id"":""26818"" }},"
12993;Married;Male;60000;2;Bachelors;Professional;Yes;1;2-5 Miles;Pacific;37;No;"{""data"": { ""id"":""12993"" }},";"{""data"": { ""id"":""12993"" }},"
14192;Married;Male;90000;4;High School;Management;Yes;3;5-10 Miles;Europe;56;Yes;"{""data"": { ""id"":""14192"" }},";"{""data"": { ""id"":""14192"" }},"
19477;Married;Male;40000;0;Bachelors;Professional;Yes;0;0-1 Miles;Europe;40;Yes;"{""data"": { ""id"":""19477"" }},";"{""data"": { ""id"":""19477"" }},"
26796;Single;Male;40000;2;Bachelors;Management;Yes;2;5-10 Miles;Pacific;65;Yes;"{""data"": { ""id"":""26796"" }},";"{""data"": { ""id"":""26796"" }},"
21094;Single;Female;30000;2;Partial College;Clerical;Yes;2;0-1 Miles;Europe;42;No;"{""data"": { ""id"":""21094"" }},";"{""data"": { ""id"":""21094"" }},"
12234;Married;Male;10000;2;Partial College;Manual;Yes;1;2-5 Miles;Europe;52;No;"{""data"": { ""id"":""12234"" }},";"{""data"": { ""id"":""12234"" }},"
28683;Single;Female;10000;1;High School;Manual;No;1;5-10 Miles;Europe;35;Yes;"{""data"": { ""id"":""28683"" }},";"{""data"": { ""id"":""28683"" }},"
17994;Single;Male;20000;2;High School;Manual;Yes;2;0-1 Miles;Europe;42;No;"{""data"": { ""id"":""17994"" }},";"{""data"": { ""id"":""17994"" }},"
24273;Married;Female;20000;2;Partial High School;Clerical;Yes;2;5-10 Miles;Pacific;55;Yes;"{""data"": { ""id"":""24273"" }},";"{""data"": { ""id"":""24273"" }},"
26547;Single;Female;30000;2;Partial College;Clerical;No;2;5-10 Miles;Pacific;60;Yes;"{""data"": { ""id"":""26547"" }},";"{""data"": { ""id"":""26547"" }},"
22500;Single;Male;40000;0;Bachelors;Professional;No;0;0-1 Miles;Europe;40;Yes;"{""data"": { ""id"":""22500"" }},";"{""data"": { ""id"":""22500"" }},"
23993;Single;Female;10000;0;Partial College;Manual;No;1;0-1 Miles;Pacific;26;Yes;"{""data"": { ""id"":""23993"" }},";"{""data"": { ""id"":""23993"" }},"
14832;Married;Male;40000;1;Bachelors;Skilled Manual;Yes;0;0-1 Miles;Europe;42;Yes;"{""data"": { ""id"":""14832"" }},";"{""data"": { ""id"":""14832"" }},"
16614;Married;Female;80000;0;Bachelors;Professional;Yes;3;10+ Miles;Pacific;32;No;"{""data"": { ""id"":""16614"" }},";"{""data"": { ""id"":""16614"" }},"
20877;Single;Male;30000;1;Bachelors;Clerical;Yes;0;1-2 Miles;Europe;37;Yes;"{""data"": { ""id"":""20877"" }},";"{""data"": { ""id"":""20877"" }},"
20729;Married;Female;40000;2;Partial College;Clerical;No;1;0-1 Miles;Europe;34;No;"{""data"": { ""id"":""20729"" }},";"{""data"": { ""id"":""20729"" }},"
22464;Married;Male;40000;0;Graduate Degree;Clerical;Yes;0;0-1 Miles;Europe;37;Yes;"{""data"": { ""id"":""22464"" }},";"{""data"": { ""id"":""22464"" }},"
19475;Married;Female;40000;0;Bachelors;Professional;No;0;0-1 Miles;Europe;40;Yes;"{""data"": { ""id"":""19475"" }},";"{""data"": { ""id"":""19475"" }},"
19675;Married;Male;20000;4;High School;Skilled Manual;Yes;2;5-10 Miles;Pacific;60;No;"{""data"": { ""id"":""19675"" }},";"{""data"": { ""id"":""19675"" }},"
12728;Single;Male;30000;0;Partial College;Clerical;No;1;1-2 Miles;Europe;27;No;"{""data"": { ""id"":""12728"" }},";"{""data"": { ""id"":""12728"" }},"
26154;Married;Male;60000;1;Partial College;Skilled Manual;Yes;1;5-10 Miles;Pacific;43;Yes;"{""data"": { ""id"":""26154"" }},";"{""data"": { ""id"":""26154"" }},"
29117;Single;Male;100000;1;Bachelors;Management;No;3;0-1 Miles;Pacific;48;No;"{""data"": { ""id"":""29117"" }},";"{""data"": { ""id"":""29117"" }},"
17845;Single;Female;20000;0;Partial High School;Manual;No;2;1-2 Miles;Europe;32;No;"{""data"": { ""id"":""17845"" }},";"{""data"": { ""id"":""17845"" }},"
25058;Married;Male;100000;1;Bachelors;Management;Yes;3;2-5 Miles;Pacific;47;No;"{""data"": { ""id"":""25058"" }},";"{""data"": { ""id"":""25058"" }},"
23426;Single;Male;80000;5;Graduate Degree;Management;Yes;3;0-1 Miles;Pacific;40;No;"{""data"": { ""id"":""23426"" }},";"{""data"": { ""id"":""23426"" }},"
14798;Single;Female;10000;4;Partial High School;Manual;Yes;2;0-1 Miles;Europe;41;Yes;"{""data"": { ""id"":""14798"" }},";"{""data"": { ""id"":""14798"" }},"
12664;Married;Female;130000;5;Partial College;Professional;Yes;4;0-1 Miles;Europe;59;No;"{""data"": { ""id"":""12664"" }},";"{""data"": { ""id"":""12664"" }},"
23979;Single;Male;10000;2;Partial College;Manual;No;0;0-1 Miles;Europe;50;No;"{""data"": { ""id"":""23979"" }},";"{""data"": { ""id"":""23979"" }},"
