ID;Cars;Commute Distance;Region;Purchased Bike;ID für JSON Darstellung;Für JSON-Darstellung
29380;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""29380"" }},";"{""data"": { ""id"":""29380"" }},"
23986;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""23986"" }},";"{""data"": { ""id"":""23986"" }},"
24466;1;5-10 Miles;Pacific;Yes;"{""data"": { ""id"":""24466"" }},";"{""data"": { ""id"":""24466"" }},"
29097;2;5-10 Miles;Pacific;Yes;"{""data"": { ""id"":""29097"" }},";"{""data"": { ""id"":""29097"" }},"
19487;2;0-1 Miles;Europe;No;"{""data"": { ""id"":""19487"" }},";"{""data"": { ""id"":""19487"" }},"
14939;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""14939"" }},";"{""data"": { ""id"":""14939"" }},"
13826;1;0-1 Miles;Europe;No;"{""data"": { ""id"":""13826"" }},";"{""data"": { ""id"":""13826"" }},"
20619;4;10+ Miles;Pacific;No;"{""data"": { ""id"":""20619"" }},";"{""data"": { ""id"":""20619"" }},"
12558;0;0-1 Miles;Europe;No;"{""data"": { ""id"":""12558"" }},";"{""data"": { ""id"":""12558"" }},"
24871;3;5-10 Miles;Europe;No;"{""data"": { ""id"":""24871"" }},";"{""data"": { ""id"":""24871"" }},"
17319;1;5-10 Miles;Pacific;No;"{""data"": { ""id"":""17319"" }},";"{""data"": { ""id"":""17319"" }},"
28906;2;10+ Miles;Europe;No;"{""data"": { ""id"":""28906"" }},";"{""data"": { ""id"":""28906"" }},"
12808;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""12808"" }},";"{""data"": { ""id"":""12808"" }},"
20567;4;5-10 Miles;Europe;Yes;"{""data"": { ""id"":""20567"" }},";"{""data"": { ""id"":""20567"" }},"
25502;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""25502"" }},";"{""data"": { ""id"":""25502"" }},"
15580;1;2-5 Miles;Pacific;Yes;"{""data"": { ""id"":""15580"" }},";"{""data"": { ""id"":""15580"" }},"
24185;1;1-2 Miles;Europe;No;"{""data"": { ""id"":""24185"" }},";"{""data"": { ""id"":""24185"" }},"
19291;0;0-1 Miles;Europe;No;"{""data"": { ""id"":""19291"" }},";"{""data"": { ""id"":""19291"" }},"
16713;1;0-1 Miles;Pacific;Yes;"{""data"": { ""id"":""16713"" }},";"{""data"": { ""id"":""16713"" }},"
16185;3;10+ Miles;Pacific;No;"{""data"": { ""id"":""16185"" }},";"{""data"": { ""id"":""16185"" }},"
14927;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""14927"" }},";"{""data"": { ""id"":""14927"" }},"
29337;2;5-10 Miles;Pacific;No;"{""data"": { ""id"":""29337"" }},";"{""data"": { ""id"":""29337"" }},"
29355;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""29355"" }},";"{""data"": { ""id"":""29355"" }},"
25303;1;2-5 Miles;Europe;Yes;"{""data"": { ""id"":""25303"" }},";"{""data"": { ""id"":""25303"" }},"
14813;1;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""14813"" }},";"{""data"": { ""id"":""14813"" }},"
16438;2;0-1 Miles;Europe;No;"{""data"": { ""id"":""16438"" }},";"{""data"": { ""id"":""16438"" }},"
14238;4;10+ Miles;Pacific;Yes;"{""data"": { ""id"":""14238"" }},";"{""data"": { ""id"":""14238"" }},"
16200;2;0-1 Miles;Europe;No;"{""data"": { ""id"":""16200"" }},";"{""data"": { ""id"":""16200"" }},"
24857;4;0-1 Miles;Europe;No;"{""data"": { ""id"":""24857"" }},";"{""data"": { ""id"":""24857"" }},"
26956;1;2-5 Miles;Europe;Yes;"{""data"": { ""id"":""26956"" }},";"{""data"": { ""id"":""26956"" }},"
14517;2;1-2 Miles;Pacific;No;"{""data"": { ""id"":""14517"" }},";"{""data"": { ""id"":""14517"" }},"
12678;4;0-1 Miles;Pacific;No;"{""data"": { ""id"":""12678"" }},";"{""data"": { ""id"":""12678"" }},"
16188;2;1-2 Miles;Europe;No;"{""data"": { ""id"":""16188"" }},";"{""data"": { ""id"":""16188"" }},"
27969;2;10+ Miles;Pacific;Yes;"{""data"": { ""id"":""27969"" }},";"{""data"": { ""id"":""27969"" }},"
15752;2;1-2 Miles;Pacific;Yes;"{""data"": { ""id"":""15752"" }},";"{""data"": { ""id"":""15752"" }},"
27745;2;5-10 Miles;Pacific;Yes;"{""data"": { ""id"":""27745"" }},";"{""data"": { ""id"":""27745"" }},"
20828;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""20828"" }},";"{""data"": { ""id"":""20828"" }},"
19461;2;0-1 Miles;Europe;No;"{""data"": { ""id"":""19461"" }},";"{""data"": { ""id"":""19461"" }},"
26941;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""26941"" }},";"{""data"": { ""id"":""26941"" }},"
28412;1;2-5 Miles;Europe;No;"{""data"": { ""id"":""28412"" }},";"{""data"": { ""id"":""28412"" }},"
24485;1;5-10 Miles;Pacific;Yes;"{""data"": { ""id"":""24485"" }},";"{""data"": { ""id"":""24485"" }},"
16514;1;1-2 Miles;Pacific;Yes;"{""data"": { ""id"":""16514"" }},";"{""data"": { ""id"":""16514"" }},"
17191;3;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""17191"" }},";"{""data"": { ""id"":""17191"" }},"
19608;4;1-2 Miles;Pacific;No;"{""data"": { ""id"":""19608"" }},";"{""data"": { ""id"":""19608"" }},"
24119;1;2-5 Miles;Europe;No;"{""data"": { ""id"":""24119"" }},";"{""data"": { ""id"":""24119"" }},"
25458;1;1-2 Miles;Europe;Yes;"{""data"": { ""id"":""25458"" }},";"{""data"": { ""id"":""25458"" }},"
26886;1;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""26886"" }},";"{""data"": { ""id"":""26886"" }},"
28436;1;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""28436"" }},";"{""data"": { ""id"":""28436"" }},"
19562;1;2-5 Miles;Pacific;Yes;"{""data"": { ""id"":""19562"" }},";"{""data"": { ""id"":""19562"" }},"
15608;1;2-5 Miles;Europe;No;"{""data"": { ""id"":""15608"" }},";"{""data"": { ""id"":""15608"" }},"
16487;2;5-10 Miles;Pacific;No;"{""data"": { ""id"":""16487"" }},";"{""data"": { ""id"":""16487"" }},"
17197;2;10+ Miles;Europe;No;"{""data"": { ""id"":""17197"" }},";"{""data"": { ""id"":""17197"" }},"
12507;1;0-1 Miles;Europe;No;"{""data"": { ""id"":""12507"" }},";"{""data"": { ""id"":""12507"" }},"
23940;1;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""23940"" }},";"{""data"": { ""id"":""23940"" }},"
19441;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""19441"" }},";"{""data"": { ""id"":""19441"" }},"
26852;2;0-1 Miles;Europe;No;"{""data"": { ""id"":""26852"" }},";"{""data"": { ""id"":""26852"" }},"
12274;0;0-1 Miles;Europe;No;"{""data"": { ""id"":""12274"" }},";"{""data"": { ""id"":""12274"" }},"
20236;2;0-1 Miles;Pacific;Yes;"{""data"": { ""id"":""20236"" }},";"{""data"": { ""id"":""20236"" }},"
24149;0;1-2 Miles;Europe;No;"{""data"": { ""id"":""24149"" }},";"{""data"": { ""id"":""24149"" }},"
26139;1;5-10 Miles;Pacific;No;"{""data"": { ""id"":""26139"" }},";"{""data"": { ""id"":""26139"" }},"
18491;2;5-10 Miles;Pacific;Yes;"{""data"": { ""id"":""18491"" }},";"{""data"": { ""id"":""18491"" }},"
22707;1;2-5 Miles;Europe;No;"{""data"": { ""id"":""22707"" }},";"{""data"": { ""id"":""22707"" }},"
20430;2;5-10 Miles;Pacific;Yes;"{""data"": { ""id"":""20430"" }},";"{""data"": { ""id"":""20430"" }},"
27494;2;1-2 Miles;Pacific;Yes;"{""data"": { ""id"":""27494"" }},";"{""data"": { ""id"":""27494"" }},"
26829;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""26829"" }},";"{""data"": { ""id"":""26829"" }},"
28395;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""28395"" }},";"{""data"": { ""id"":""28395"" }},"
21006;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""21006"" }},";"{""data"": { ""id"":""21006"" }},"
14682;1;5-10 Miles;Pacific;No;"{""data"": { ""id"":""14682"" }},";"{""data"": { ""id"":""14682"" }},"
17650;2;1-2 Miles;Europe;No;"{""data"": { ""id"":""17650"" }},";"{""data"": { ""id"":""17650"" }},"
29191;1;0-1 Miles;Pacific;Yes;"{""data"": { ""id"":""29191"" }},";"{""data"": { ""id"":""29191"" }},"
15030;0;0-1 Miles;Pacific;Yes;"{""data"": { ""id"":""15030"" }},";"{""data"": { ""id"":""15030"" }},"
24140;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""24140"" }},";"{""data"": { ""id"":""24140"" }},"
22496;2;0-1 Miles;Europe;No;"{""data"": { ""id"":""22496"" }},";"{""data"": { ""id"":""22496"" }},"
24065;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""24065"" }},";"{""data"": { ""id"":""24065"" }},"
19914;2;2-5 Miles;Europe;No;"{""data"": { ""id"":""19914"" }},";"{""data"": { ""id"":""19914"" }},"
12871;1;2-5 Miles;Europe;No;"{""data"": { ""id"":""12871"" }},";"{""data"": { ""id"":""12871"" }},"
22988;2;5-10 Miles;Pacific;Yes;"{""data"": { ""id"":""22988"" }},";"{""data"": { ""id"":""22988"" }},"
15922;4;0-1 Miles;Europe;No;"{""data"": { ""id"":""15922"" }},";"{""data"": { ""id"":""15922"" }},"
12344;3;10+ Miles;Pacific;No;"{""data"": { ""id"":""12344"" }},";"{""data"": { ""id"":""12344"" }},"
23627;4;5-10 Miles;Europe;No;"{""data"": { ""id"":""23627"" }},";"{""data"": { ""id"":""23627"" }},"
27775;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""27775"" }},";"{""data"": { ""id"":""27775"" }},"
29301;4;1-2 Miles;Pacific;No;"{""data"": { ""id"":""29301"" }},";"{""data"": { ""id"":""29301"" }},"
12716;1;2-5 Miles;Europe;No;"{""data"": { ""id"":""12716"" }},";"{""data"": { ""id"":""12716"" }},"
12472;1;2-5 Miles;Europe;No;"{""data"": { ""id"":""12472"" }},";"{""data"": { ""id"":""12472"" }},"
20970;1;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""20970"" }},";"{""data"": { ""id"":""20970"" }},"
26818;1;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""26818"" }},";"{""data"": { ""id"":""26818"" }},"
12993;1;2-5 Miles;Pacific;No;"{""data"": { ""id"":""12993"" }},";"{""data"": { ""id"":""12993"" }},"
14192;3;5-10 Miles;Europe;Yes;"{""data"": { ""id"":""14192"" }},";"{""data"": { ""id"":""14192"" }},"
19477;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""19477"" }},";"{""data"": { ""id"":""19477"" }},"
26796;2;5-10 Miles;Pacific;Yes;"{""data"": { ""id"":""26796"" }},";"{""data"": { ""id"":""26796"" }},"
21094;2;0-1 Miles;Europe;No;"{""data"": { ""id"":""21094"" }},";"{""data"": { ""id"":""21094"" }},"
12234;1;2-5 Miles;Europe;No;"{""data"": { ""id"":""12234"" }},";"{""data"": { ""id"":""12234"" }},"
28683;1;5-10 Miles;Europe;Yes;"{""data"": { ""id"":""28683"" }},";"{""data"": { ""id"":""28683"" }},"
17994;2;0-1 Miles;Europe;No;"{""data"": { ""id"":""17994"" }},";"{""data"": { ""id"":""17994"" }},"
24273;2;5-10 Miles;Pacific;Yes;"{""data"": { ""id"":""24273"" }},";"{""data"": { ""id"":""24273"" }},"
26547;2;5-10 Miles;Pacific;Yes;"{""data"": { ""id"":""26547"" }},";"{""data"": { ""id"":""26547"" }},"
22500;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""22500"" }},";"{""data"": { ""id"":""22500"" }},"
23993;1;0-1 Miles;Pacific;Yes;"{""data"": { ""id"":""23993"" }},";"{""data"": { ""id"":""23993"" }},"
14832;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""14832"" }},";"{""data"": { ""id"":""14832"" }},"
16614;3;10+ Miles;Pacific;No;"{""data"": { ""id"":""16614"" }},";"{""data"": { ""id"":""16614"" }},"
20877;0;1-2 Miles;Europe;Yes;"{""data"": { ""id"":""20877"" }},";"{""data"": { ""id"":""20877"" }},"
20729;1;0-1 Miles;Europe;No;"{""data"": { ""id"":""20729"" }},";"{""data"": { ""id"":""20729"" }},"
22464;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""22464"" }},";"{""data"": { ""id"":""22464"" }},"
19475;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""19475"" }},";"{""data"": { ""id"":""19475"" }},"
19675;2;5-10 Miles;Pacific;No;"{""data"": { ""id"":""19675"" }},";"{""data"": { ""id"":""19675"" }},"
12728;1;1-2 Miles;Europe;No;"{""data"": { ""id"":""12728"" }},";"{""data"": { ""id"":""12728"" }},"
26154;1;5-10 Miles;Pacific;Yes;"{""data"": { ""id"":""26154"" }},";"{""data"": { ""id"":""26154"" }},"
29117;3;0-1 Miles;Pacific;No;"{""data"": { ""id"":""29117"" }},";"{""data"": { ""id"":""29117"" }},"
17845;2;1-2 Miles;Europe;No;"{""data"": { ""id"":""17845"" }},";"{""data"": { ""id"":""17845"" }},"
25058;3;2-5 Miles;Pacific;No;"{""data"": { ""id"":""25058"" }},";"{""data"": { ""id"":""25058"" }},"
23426;3;0-1 Miles;Pacific;No;"{""data"": { ""id"":""23426"" }},";"{""data"": { ""id"":""23426"" }},"
14798;2;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""14798"" }},";"{""data"": { ""id"":""14798"" }},"
12664;4;0-1 Miles;Europe;No;"{""data"": { ""id"":""12664"" }},";"{""data"": { ""id"":""12664"" }},"
23979;0;0-1 Miles;Europe;No;"{""data"": { ""id"":""23979"" }},";"{""data"": { ""id"":""23979"" }},"
25605;1;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""25605"" }},";"{""data"": { ""id"":""25605"" }},"
20797;0;0-1 Miles;Europe;No;"{""data"": { ""id"":""20797"" }},";"{""data"": { ""id"":""20797"" }},"
21980;1;5-10 Miles;Pacific;Yes;"{""data"": { ""id"":""21980"" }},";"{""data"": { ""id"":""21980"" }},"
25460;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""25460"" }},";"{""data"": { ""id"":""25460"" }},"
29181;1;0-1 Miles;Pacific;Yes;"{""data"": { ""id"":""29181"" }},";"{""data"": { ""id"":""29181"" }},"
24279;2;1-2 Miles;Pacific;No;"{""data"": { ""id"":""24279"" }},";"{""data"": { ""id"":""24279"" }},"
22402;1;2-5 Miles;Pacific;Yes;"{""data"": { ""id"":""22402"" }},";"{""data"": { ""id"":""22402"" }},"
15465;1;0-1 Miles;Pacific;No;"{""data"": { ""id"":""15465"" }},";"{""data"": { ""id"":""15465"" }},"
26757;1;2-5 Miles;Pacific;Yes;"{""data"": { ""id"":""26757"" }},";"{""data"": { ""id"":""26757"" }},"
14233;3;10+ Miles;Pacific;No;"{""data"": { ""id"":""14233"" }},";"{""data"": { ""id"":""14233"" }},"
14058;1;5-10 Miles;Pacific;Yes;"{""data"": { ""id"":""14058"" }},";"{""data"": { ""id"":""14058"" }},"
12273;0;0-1 Miles;Europe;No;"{""data"": { ""id"":""12273"" }},";"{""data"": { ""id"":""12273"" }},"
17203;4;5-10 Miles;Europe;Yes;"{""data"": { ""id"":""17203"" }},";"{""data"": { ""id"":""17203"" }},"
18144;2;2-5 Miles;Europe;No;"{""data"": { ""id"":""18144"" }},";"{""data"": { ""id"":""18144"" }},"
23963;2;0-1 Miles;Europe;No;"{""data"": { ""id"":""23963"" }},";"{""data"": { ""id"":""23963"" }},"
17907;1;2-5 Miles;Pacific;No;"{""data"": { ""id"":""17907"" }},";"{""data"": { ""id"":""17907"" }},"
19442;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""19442"" }},";"{""data"": { ""id"":""19442"" }},"
17504;2;5-10 Miles;Pacific;Yes;"{""data"": { ""id"":""17504"" }},";"{""data"": { ""id"":""17504"" }},"
12253;0;0-1 Miles;Pacific;Yes;"{""data"": { ""id"":""12253"" }},";"{""data"": { ""id"":""12253"" }},"
27304;3;5-10 Miles;Europe;No;"{""data"": { ""id"":""27304"" }},";"{""data"": { ""id"":""27304"" }},"
14191;2;10+ Miles;Europe;Yes;"{""data"": { ""id"":""14191"" }},";"{""data"": { ""id"":""14191"" }},"
12212;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""12212"" }},";"{""data"": { ""id"":""12212"" }},"
25529;0;0-1 Miles;Europe;No;"{""data"": { ""id"":""25529"" }},";"{""data"": { ""id"":""25529"" }},"
22170;2;1-2 Miles;Pacific;Yes;"{""data"": { ""id"":""22170"" }},";"{""data"": { ""id"":""22170"" }},"
19445;1;0-1 Miles;Europe;No;"{""data"": { ""id"":""19445"" }},";"{""data"": { ""id"":""19445"" }},"
15265;2;5-10 Miles;Pacific;Yes;"{""data"": { ""id"":""15265"" }},";"{""data"": { ""id"":""15265"" }},"
28918;4;10+ Miles;Europe;No;"{""data"": { ""id"":""28918"" }},";"{""data"": { ""id"":""28918"" }},"
15799;1;2-5 Miles;Pacific;Yes;"{""data"": { ""id"":""15799"" }},";"{""data"": { ""id"":""15799"" }},"
11047;2;1-2 Miles;Pacific;Yes;"{""data"": { ""id"":""11047"" }},";"{""data"": { ""id"":""11047"" }},"
18151;2;10+ Miles;Europe;No;"{""data"": { ""id"":""18151"" }},";"{""data"": { ""id"":""18151"" }},"
20606;4;10+ Miles;Pacific;Yes;"{""data"": { ""id"":""20606"" }},";"{""data"": { ""id"":""20606"" }},"
19482;1;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""19482"" }},";"{""data"": { ""id"":""19482"" }},"
16489;2;5-10 Miles;Pacific;No;"{""data"": { ""id"":""16489"" }},";"{""data"": { ""id"":""16489"" }},"
26944;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""26944"" }},";"{""data"": { ""id"":""26944"" }},"
15682;2;10+ Miles;Europe;No;"{""data"": { ""id"":""15682"" }},";"{""data"": { ""id"":""15682"" }},"
26032;4;10+ Miles;Pacific;No;"{""data"": { ""id"":""26032"" }},";"{""data"": { ""id"":""26032"" }},"
17843;2;0-1 Miles;Europe;No;"{""data"": { ""id"":""17843"" }},";"{""data"": { ""id"":""17843"" }},"
25559;0;0-1 Miles;Pacific;Yes;"{""data"": { ""id"":""25559"" }},";"{""data"": { ""id"":""25559"" }},"
16209;0;1-2 Miles;Europe;No;"{""data"": { ""id"":""16209"" }},";"{""data"": { ""id"":""16209"" }},"
11147;1;0-1 Miles;Pacific;Yes;"{""data"": { ""id"":""11147"" }},";"{""data"": { ""id"":""11147"" }},"
15214;1;1-2 Miles;Pacific;Yes;"{""data"": { ""id"":""15214"" }},";"{""data"": { ""id"":""15214"" }},"
11453;3;10+ Miles;Pacific;Yes;"{""data"": { ""id"":""11453"" }},";"{""data"": { ""id"":""11453"" }},"
24584;3;2-5 Miles;Pacific;No;"{""data"": { ""id"":""24584"" }},";"{""data"": { ""id"":""24584"" }},"
12585;0;2-5 Miles;Pacific;Yes;"{""data"": { ""id"":""12585"" }},";"{""data"": { ""id"":""12585"" }},"
18626;0;1-2 Miles;Europe;Yes;"{""data"": { ""id"":""18626"" }},";"{""data"": { ""id"":""18626"" }},"
29298;1;5-10 Miles;Pacific;Yes;"{""data"": { ""id"":""29298"" }},";"{""data"": { ""id"":""29298"" }},"
24842;1;2-5 Miles;Europe;No;"{""data"": { ""id"":""24842"" }},";"{""data"": { ""id"":""24842"" }},"
15657;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""15657"" }},";"{""data"": { ""id"":""15657"" }},"
11415;2;10+ Miles;Europe;No;"{""data"": { ""id"":""11415"" }},";"{""data"": { ""id"":""11415"" }},"
28729;2;1-2 Miles;Europe;Yes;"{""data"": { ""id"":""28729"" }},";"{""data"": { ""id"":""28729"" }},"
22633;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""22633"" }},";"{""data"": { ""id"":""22633"" }},"
25649;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""25649"" }},";"{""data"": { ""id"":""25649"" }},"
14669;1;0-1 Miles;Pacific;No;"{""data"": { ""id"":""14669"" }},";"{""data"": { ""id"":""14669"" }},"
19299;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""19299"" }},";"{""data"": { ""id"":""19299"" }},"
20946;1;2-5 Miles;Europe;No;"{""data"": { ""id"":""20946"" }},";"{""data"": { ""id"":""20946"" }},"
11451;4;10+ Miles;Pacific;Yes;"{""data"": { ""id"":""11451"" }},";"{""data"": { ""id"":""11451"" }},"
25553;0;0-1 Miles;Europe;Yes;"{""data"": { ""id"":""25553"" }},";"{""data"": { ""id"":""25553"" }},"
27951;2;2-5 Miles;Europe;Yes;"{""data"": { ""id"":""27951"" }},";"{""data"": { ""id"":""27951"" }},"
25026;3;5-10 Miles;Pacific;No;"{""data"": { ""id"":""25026"" }},";"{""data"": { ""id"":""25026"" }},"
13673;2;0-1 Miles;Europe;No;"{""data"": { ""id"":""13673"" }},";"{""data"": { ""id"":""13673"" }},"
16043;0;0-1 Miles;Europe;No;"{""data"": { ""id"":""16043"" }},";"{""data"": { ""id"":""16043"" }},"
22399;1;1-2 Miles;Pacific;Yes;"{""data"": { ""id"":""22399"" }},";"{""data"": { ""id"":""22399"" }},"
27696;1;5-10 Miles;Pacific;Yes;"{""data"": { ""id"":""27696"" }},";"{""data"": { ""id"":""27696"" }},"
25313;2;1-2 Miles;Europe;No;"{""data"": { ""id"":""25313"" }},";"{""data"": { ""id"":""25313"" }},"
13813;0;0-1 Miles;Europe;No;"{""data"": { ""id"":""13813"" }},";"{""data"": { ""id"":""13813"" }},"
18711;4;10+ Miles;Pacific;No;"{""data"": { ""id"":""18711"" }},";"{""data"": { ""id"":""18711"" }},"
19650;2;0-1 Miles;Pacific;No;"{""data"": { ""id"":""19650"" }},";"{""data"": { ""id"":""19650"" }},"
14135;0;1-2 Miles;Europe;No;"{""data"": { ""id"":""14135"" }},";"{""data"": { ""id"":""14135"" }},"
